OBJECTID,Shape,NAME,TEL,URL,ADDRESS1,ADDRES2,CITY,ZIP
1,"(40.759851155000035, -73.99061840899992)",45th Street Theater,(212) 352-3101,http://www.theatermania.com/new-york/theaters/45th-street-theatre_2278/,354 West 45th Street, ,New York,10036
2,"(40.76047123400008, -73.9881059519999)",47th Street Theater,(800) 775-1617,http://www.bestofoffbroadway.com/theaters/47streettheatre.html,304 West 47th Street, ,New York,10036
3,"(40.76339942800007, -73.97038450199994)",59E59,(212) 753-5959,http://www.59e59.org/,59 East 59th Street, ,New York,10022
4,"(40.758536682000056, -73.99332384599995)",Acorn Theater,(212) 279-4200,http://www.theatrerow.org/theacorn.htm,410 West 42nd Street, ,New York,10036
5,"(40.75926091200006, -73.98921433399994)",Al Hirschfeld Theater,(212) 239-6200,http://www.newyorkcitytheatre.com/theaters/alhirschfeldtheater/theater.php,302 W 45th Street, ,New York,10036
6,"(40.76125861500009, -73.98500140999994)",Ambassador Theatre,(800) 432-7565,http://www.shubertorganization.com/theatres/ambassador.asp,219 West 49th Street, ,New York,10019
7,"(40.75677874400009, -73.98804923799992)",American Airlines Theatre,(212) 719-9393,http://www.newyorkcitytheatre.com/theaters/americanairlinestheater/theater.php,227 W 42nd Street, ,New York,10036
8,"(40.810037324000064, -73.9500398429999)",Apollo Theater,(212) 531-5300,http://www.apollotheater.org/,253 West 125th Street, ,New York,10027
9,"(40.77711991100006, -73.98121028899993)",Arclight Theatre,(212) 595-0355,http://www.nytheatre.com/nytheatre/arclight.htm,152 W 71st St, ,New York,10023
10,"(40.72937741000004, -73.99234386199993)",Astor Place Theatre,(212) 254-4370,http://www.newyorkcitytheatre.com/theaters/astorplacetheater/theater.php,434 Lafayette St,Frnt,New York,10003
11,"(40.74388769300003, -74.00155441099992)",Atlantic Theatre,(212) 645-1242,http://www.atlantictheater.org/,336 W 20th St, ,New York,10011
12,"(40.763371960000086, -73.98419954099995)",August Wilson Theatre,(212) 239-6200,http://www.newyorkcitytheatre.com/theaters/augustwilsontheater/theater.php,245 W 52nd Street, ,New York,10019
13,"(40.732329478000054, -74.00308826199995)",Barrow Street Theatre,(212) 243-6262,http://www.barrowstreettheatre.com/index.asp,27 Barrow St, ,New York,10014
14,"(40.78056073000005, -73.9809928379999)",Beacon Theatre,(212) 465-6500,http://www.beacontheatre.com/,2124 Broadway, ,New York,10023
15,"(40.75665276800004, -73.98378603799995)",Belasco Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/belasco.asp,111 W 44th St, ,New York,10036
16,"(40.75862947200005, -73.9877236609999)",Bernard B. Jacobs Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/bernard_b_jacobs.asp,242 W 45th Street, ,New York,10036
17,"(40.725953048000065, -73.9941751259999)",Bleecker Street Theater,(212) 260-8250,http://www.45bleecker.com/,45 Bleecker Street, ,New York,10012
18,"(40.758372971000085, -73.98708845699991)",Booth Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/booth.asp,222 W 45th St, ,New York,10036
19,"(40.75826441000004, -73.98762265699992)",Broadhurst Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/broadhurst.asp,235 W 44th St, ,New York,10036
20,"(40.76327020300005, -73.98335054699993)",Broadway Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/broadway.asp,1681 Broadway, ,New York,10019
21,"(40.75995784600008, -73.98698342699993)",Brooks Atkinson Theatre,(212) 719-4099,http://www.brooksatkinsontheater.com/,256 W 47th St, ,New York,10036
22,"(40.76060535400006, -73.99696366499995)",Castillo Theater,(212) 941-9400,http://www.castillo.org/,543 West 42nd Street, ,New York,10036
23,"(40.73516747600007, -73.98888987399994)",Century Center For the Performing Arts,(212) 239-6200,http://www.theatermania.com/new-york/theaters/century-center-for-the-performing-arts_59/,111 E 15th St, ,New York,10003
24,"(40.73126210500004, -74.00531118899994)",Cherry Lane Theatre,(212) 989-2020Â¿,http://cherrylanetheatre.org/,38 Commerce Street, ,New York,10014
25,"(40.76202945700004, -73.98454846699991)",Circle In the Square Theatre,(212) 307-0388,http://www.circlesquare.org/,1633 Broadway, ,New York,10019
26,"(40.723574588000076, -73.9836116749999)",Connelly Theater,(212) 982-2287,http://www.connellycenter.org/theatre.htm,220 E 4th St, ,New York,10009
27,"(40.75911744400008, -73.98305628899993)",Cort Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/cort.asp,138 W 48th St, ,New York,10036
28,"(40.73528280100004, -73.98936976599992)",Daryl Roth Theatre,(212) 375-1110,http://www.darylroththeatre.com/,101 E 15th St, ,New York,10003
29,"(40.75682251400008, -73.98817225099992)",Duke Theatre,(646) 223-3010,http://www.new42.org/duke/duke_home.aspx,229 W. 42nd St, ,New York,10036
30,"(40.763806791000036, -73.9828983889999)",Ed Sullivan Theater,(212) 975-4321,http://www.newyorkcitytheatre.com/theaters/edsullivantheater/theater.php,1697 Broadway, ,New York,10019
31,"(40.76010047700004, -73.9861567769999)",Ethel Barrymore Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/ethel_barrymore.asp,243 West 47th Street, ,New York,10036
32,"(40.76107755800007, -73.98576310999994)",Eugene O'Neill Theater,(888) VISIT-NY,http://www.ibdb.com/venue.php?id=1158,230 W 49th St, ,New York,10019
33,"(40.72667007600006, -73.9936392809999)",Gene Frankel Theatre Workshop,(212) 777-1767,http://www.genefrankel.com/presentation_content.html,24 Bond St, ,New York,10012
34,"(40.758505926000055, -73.98742769499995)",Gerald Schoenfeld Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/gerald_schoenfeld.asp,236 W 45th Street, ,New York,10036
35,"(40.762421294000035, -73.98515837299993)",Gershwin Theatre,(212) 586-6510,http://www.gershwintheatre.com/,222 W 51st St, ,New York,10019
36,"(40.741652817000045, -73.9825777129999)",Gramercy Arts Theatre,(212) 889-2850,http://www.theatermania.com/new-york/theaters/gramercy-arts-theatre_657/,138 E 27th St, ,New York,10016
37,"(40.727292987000055, -74.00862295099995)",Greenwich Street Theater,(888) VISIT-NY,http://www.theatermania.com/new-york/theaters/greenwich-street-theatre_196/,547 Greenwich St, ,New York,10013
38,"(40.75853551500006, -73.99342333599992)",Harold Clurman Theater,(888) VISIT-NY,http://www.theatermania.com/new-york/theaters/harold-clurman-theater_695/,412 W 42nd St, ,New York,10036
39,"(40.75786370000009, -73.98783930799993)",Helen Hayes Theater,(212) 944-9450,http://www.nytheatre.com/nytheatre/hayes.htm,240 W 44th St, ,New York,10036
40,"(40.75556597700006, -73.98471393499995)",Henry Miller Theatre,(212) 719-1300,http://www.roundabouttheatre.org/hmt/,124 W 43rd St, ,New York,10036
41,"(40.725127592000035, -74.00494630999992)",Here Theater,(212) 352-3101,http://www.here.org,145 6th Avenue, ,New York,10013
42,"(40.75659286000007, -73.98761935999994)",Hilton Theatre,(212) 556-4750,http://www.hiltontheatre.com/home.php?size=1280,214 W 43rd Street, ,New York,10036
43,"(40.75894905300004, -73.9873408759999)",Imperial Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/imperial.asp,249 W 45th St, ,New York,10036
44,"(40.73829939800004, -74.00932442899995)",Jane Street Theatre,(212) 924-8404,http://www.nyc.com/arts__attractions/jane_street_theatre.98884/editorial_review.aspx,113 Jane St, ,New York,10014
45,"(40.75872007400005, -73.98796548899992)",John Golden Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/john_golden.asp,252 W 45th St, ,New York,10036
46,"(40.76688567600007, -73.9878990329999)",Julia Miles Theater,(212) 757-3900,http://www.womensproject.org/julia_miles_theater.htm,424 W 55th St, ,New York,10019
47,"(40.72659020100008, -73.98980049199992)",Kraine Theater,(888) VISIT-NY,http://www.httheater.org/rentersKRAINE.html,85 E 4th Street, ,New York,10003
48,"(40.72632770000007, -73.99020241699992)",La Mama Experimental Theatre,(212) 475-7710,http://www.lamama.org/,74A East 4th St, ,New York,10003
49,"(40.75649368300009, -73.98458377999992)",Lamb's Theatre,(212) 302-7847,http://www.lambstheatre.org/,130 W 44th St, ,New York,10036
50,"(40.75786783400008, -73.98243995899992)",Laura Pels Theater,(212) 719-9393,http://www.nytheatre.com/nytheatre/venue.php?t=laurapels,111 W 46th Street, ,New York,10001
51,"(40.75845600100007, -73.99342996799993)",Lion Theatre,(212) 714-2442,http://www.nytheatre.com/nytheatre/venue.php?t=lion,410 W 42nd St, ,New York,10036
52,"(40.76035022600007, -73.98597262999994)",Longacre Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/longacre.asp,220 W 48th St, ,New York,10036
53,"(40.73335633100004, -74.00574434599991)",Lucille Lortel Theatre,(212) 924-8782,http://www.lortel.org/llt_theater/,121 Christopher St, ,New York,10014
54,"(40.75918095900005, -73.98591872999992)",Lunt-Fontanne Theatre,(212) 575-9200,http://www.luntfontannetheatre.com/,205 W 46th St, ,New York,10036
55,"(40.75777478100008, -73.98452950899991)",Lyceum Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/lyceum.asp,149 W 45th St, ,New York,10036
56,"(40.75841266800006, -73.9880124689999)",Majestic Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/majestic.asp,245 W 44th St, ,New York,10036
57,"(40.72198768800007, -74.00120855999995)",Manhattan Ensemble Theatre,(212) 925-1900,http://www.met.com/,55 Mercer St, ,New York,10013
58,"(40.732828090000055, -73.99840463499993)",Manhattan Theatre Source,(212) 260-4698,http://www.theatresource.org/index.htm,177 MacDougal St,Frnt,New York,10011
59,"(40.75851160600007, -73.98589651299994)",Marquis Theatre,(212) 382-0100,http://www.marquistheatre.com/,1535 Broadway, ,New York,10036
60,"(40.713980640000045, -73.9883523229999)",Mazer Theatre,(212) 780-2300,http://www.newyorkcitytheatre.com/theaters/mazertheater/location.php,197 E Broadway, ,New York,10002
61,"(40.781807299000036, -73.9805552059999)",McGinn Cazale Theater,(212) 787-3242,http://www.theatermania.com/broadway/theaters/mcginncazale-theater_186/,2162 Broadway, ,New York,10024
62,"(40.723497646000055, -73.98366127499992)",Metropolitan Playhouse,(212) 995-8410,http://www.metropolitanplayhouse.org/,220 E 4th St, ,New York,10009
63,"(40.71135650000008, -74.00509727499991)",Michael Schimmel Center for the Arts at Pace University,(800) 874-7223,http://www.pace.edu/page.cfm?doc_id=26266,3 Spruce Street, ,New York,10038
64,"(40.80758670700004, -73.96346045599995)",Miller Theatre at Columbia University,(212) 854-7799,http://www.millertheatre.com/,2960 Broadway, ,New York,10027
65,"(40.75792333600003, -73.9860541939999)",Minskoff Theatre,(212) 869-0550,http://www.minskofftheatre.com/,1515 Broadway,Lbby,New York,10036
66,"(40.75888741500006, -73.98714246199995)",Music Box Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/music_box.asp,239 W 45th St, ,New York,10036
67,"(40.755486800000085, -73.98830897099992)",Nederlander Theater,(212) 921-8000,http://nederlandertheatre.com/,208 W 41st St, ,New York,10036
68,"(40.763017931000036, -73.98452812199992)",Neil Simon Theatre,(212) 757-8646,http://www.neilsimontheatre.com/,250 W 52nd St, ,New York,10019
69,"(40.75612046700007, -73.9877630069999)",New Amsterdam Theater,(212) 282-2900,http://www.newamsterdamtheatre.net/index.htm,214 W 42nd St, ,New York,10036
70,"(40.756557161000046, -73.98746415799991)",New Victory Theatre,(646) 223-3010,http://www.newvictory.org/,209 West 42nd Street, ,New York,10036
71,"(40.76237395700008, -73.98786703499991)",New World Stages,(646) 871-1730,http://www.newworldstages.com/,340 West 50th Street, ,New York,10019
72,"(40.735621467000044, -74.0065886399999)",Next Stage Theater,(888) VISIT-NY,http://www.newyorkcitytheatre.com/theaters/nextstagetheater/location.php,312 West 11th Street, ,New York,10014
73,"(40.757678173000045, -73.98621794499991)",Nokia Theatre Times Square,(212) 930-1959,http://nokiatheatrenyc.com/,1515 Broadway, ,New York,10036
74,"(40.72327983900004, -74.00161141399991)",Ohio Theatre,(212) 966-4844,http://www.sohothinktank.org/index.html,66 Wooster Street, ,New York,10012
75,"(40.720546557000034, -74.00567108999991)",Ontological Hysteric Theater,(212) 941-8911,http://www.ontological.com/,260 W Broadway, ,New York,10013
76,"(40.77945537800008, -73.95400942499992)",Orpheum Theater,(212) 828-9738,http://www.orpheum-theater.com/,1538 3rd Ave, ,New York,10028
77,"(40.728218122000044, -73.98453727999993)",P.S.122 Performance Space,(212) 477-5288,http://www.ps122.org/,150 1st Ave, ,New York,10003
78,"(40.75888992700004, -73.98447031499995)",Palace Theatre,(212) 730-8200,http://www.palacetheatreonbroadway.com/,1564 Broadway, ,New York,10036
79,"(40.72755901900007, -73.98579977599991)",Pearl Theatre,(212) 505-3401,http://www.pearltheatre.org/,80 Saint Marks Pl, ,New York,10003
80,"(40.74736718000008, -73.99228995399994)",People's Improv Theater,(212) 563-7488,http://www.thepit-nyc.com/,154 W 29th St, ,New York,10001
81,"(40.72948863500005, -73.99222099999992)",Playwrights Horizons Theater School,(212) 529-8720,http://www.phtschool.org/,440 Lafayette St, ,New York,10003
82,"(40.743979284000034, -73.84455209599992)",Queens Theatre in the Park,(718) 760-0064,http://www.queenstheatre.org/web/,Flushing Meadows Corona Park, ,Queens,11352
83,"(40.736174067000036, -74.00203650299994)",Rattlestick Theater,(212) 627-2556,http://www.rattlestick.org/,224 Waverly Pl, ,New York,10014
84,"(40.75903833000007, -73.98674175999992)",Richard Rodgers Theatre,(212) 221-1211,http://www.richardrodgerstheatre.com/,226 W 46th Street, ,New York,10036
85,"(40.76037502100007, -73.9867451049999)",Samuel J. Friedman Theatre (formerly the Biltmore),(888) VISIT-NY,http://www.theatermania.com/broadway/theaters/samuel-j-friedman-theatre_7420/,261 W 47th St, ,New York,10036
86,"(40.75823991400006, -73.98973789199994)",Second Stage Theater,(212) 246-4422,http://www.2st.com/,307 W 43rd St, ,New York,10036
87,"(40.75813761100005, -73.98723930499995)",Shubert Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/shubert.asp,225 W 44th St,Lbby,New York,10036
88,"(40.76141062100004, -73.98442891999991)",Snapple Theater Center,(212) 921-7862,http://www.nytheatre.com/nytheatre/venue.php?t=snapple,1627 Broadway, ,New York,10019
89,"(40.72653567500004, -74.00436193699994)",SoHo Playhouse,(212) 691-1555,http://www.sohoplayhouse.com/,15 Vandam St, ,New York,10013
90,"(40.71823002100007, -74.0047293529999)",SoHo Repertory Theatre,(212) 941-8632,http://www.sohorep.org/,86 Franklin St, ,New York,10013
91,"(40.75799822700009, -73.98816053699994)",St. James Theatre,(888) VISIT-NY,http://www.stjames-theater.com/?gclid=CPWjnLTO9p0CFcZM5QodoUaupw,246 W 44th St,Lbby,New York,10036
92,"(40.76435408300006, -73.98377095899991)",Studio 54 Theatre,(212) 719-1300,http://www.roundabouttheatre.org/ot_54.htm,254 W 54th Street, ,New York,10019
93,"(40.77996630300004, -73.97037578099992)",Swedish Cottage Marionette Theater,(212) 988-9093,http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_swedish_cottage.html,West Side at 79th Street, ,New York,10025
94,"(40.71854810000008, -73.9902779059999)",Tenement Theatre,(212) 431-0233,http://www.tenement.org/prog_theater.html,97 Orchard Street, ,New York,10002
95,"(40.75868460700008, -73.99374147399993)",The Beckett Theatre,(212) 714-2442,http://www.theatrerow.org/thebeckett.htm,410 W 42 St,9 Ave,New York,10036
96,"(40.73645809800007, -74.0090218009999)",The Cherry Pit,(212) 633-6533,http://www.cherrylanetheatre.org/,155 Bank St, ,New York,10014
97,"(40.75855311300006, -73.99391778599994)",The Little Shubert theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/little_shubert.asp,422 West 42nd Street, ,New York,10036
98,"(40.72892340200008, -73.99177371999991)",The Public Theater,(212) 260-2400,http://www.publictheater.org/,425 Lafayette St, ,New York,10003
99,"(40.748905998000055, -73.94482123199992)",The Secret Theatre,(718) 392-0722,http://www.secrettheatre.com/,44-02 23rd St., ,Long Island City,11101
100,"(40.74765359400004, -73.9973874129999)",The Upright Citizens Brigade Theatre,(212) 366-9176,http://www.ucbtheatre.com/,307 W 26th Street, ,New York,10001
101,"(40.77410217000005, -73.98424386599993)",The Walter Reade Theater at Lincoln Center,(212) 875-5600,http://www.filmlinc.com/wrt/wrt.html,70 Lincoln Center Plaza, ,New York,10023
102,"(40.75467479400004, -73.99403364199992)",The Zipper Theater,(212) 563-0480,http://www.yelp.com/biz/the-zipper-theater-new-york,336 W 37th St, ,New York,10018
103,"(40.72869278100006, -73.98498034699992)",Theater For The New City,(212) 254-1109,http://www.theaterforthenewcity.net/,155 1st Avenue, ,New York,10003
104,"(40.76156669400007, -73.99157114999991)",Theatre @ St. Clement's,(212) 246-7277,http://www.stclementsnyc.org/,423 West 46th Street, ,New York,10036
105,"(40.72762097000009, -73.98575178999994)",Theatre 80 St Marks,(212) 353-3321,http://www.theatermania.com/new-york/theaters/theater-80_3446/,80 Saint Marks Pl, ,New York,10003
106,"(40.75872836900004, -73.99389624299994)",Theatre Row,(212) 714-2442,http://www.theatrerow.org/,410 W 42nd Street, ,New York,10036
107,"(40.72728974700004, -73.98496483499991)",Under St. Marks,(212) 777-6088,http://www.httheater.org/rentersUNDER.html,94 St. Marks Place, ,New York,10009
108,"(40.73624066100007, -73.98874896699994)",Union Square Theater,(212) 505-0700,http://www.nytheatre.com/nytheatre/union.htm,100 E 17th St, ,New York,10003
109,"(40.728455102000055, -74.00022350599994)",Village Theater,(212) 253-0623,http://www.villagetheatre.org/,158 Bleecker St, ,New York,10012
110,"(40.73469974300008, -73.9891891769999)",Vineyard Theatre,(212) 353-3366,http://www.vineyardtheatre.org/,108 E 15th St, ,New York,10003
111,"(40.71931150100005, -74.0035137019999)",Walkerspace Theater,(212) 868-4444,http://www.theateronline.com/venuebook.xzc?PK=238&View=Hist,46 Walker Street, ,New York,10013
112,"(40.75049725400004, -73.9933951889999)",Wamu Theater (formerly Theater At Madison Square Garden),(212) 465-6741,http://www.theateratmsg.com/,4 Penn Plaza, ,New York,10001
113,"(40.75952741600008, -73.99255324099994)",Westside Theater,(212) 315-2244,http://www.westsidetheatre.com/,407 W 43rd St, ,New York,10036
114,"(40.73239903800004, -74.00889256699992)",Wings Theatre,(212) 627-2960,http://www.wingstheatre.com/,154 Christopher St,Bsmt,New York,10014
115,"(40.761524646000055, -73.98348162999991)",Winter Garden Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/winter_garden.asp,1634 Broadway, ,New York,10019
116,"(40.75835722900007, -73.96997885899992)",York Theatre,(212) 935-5820,http://www.yorktheatre.org/,619 Lexington Ave, ,New York,10022
117,"(40.78017563600008, -73.96882480499994)",Delacorte Theater,(212) 861-7277,http://www.centralpark.com/pages/attractions/delacorte-theatre.html,Central Park - Mid-Park at 80th Street,SW corner of the Great Lawn,New York,0
